x;y;o;e;m;t;s;owner
5;5;0;0;0;0;20;
580;29;73;85;76;47;94;
580;31;75;77;84;34;80;
576;37;71;83;26;68;85;
577;38;85;66;81;10;80;
578;38;8;96;81;46;99;
583;38;69;83;75;63;90;
577;39;70;73;70;26;98;
576;40;75;78;2;24;92;
577;40;77;63;87;82;75;
578;40;78;77;85;90;86;
580;40;76;88;72;34;80;
582;40;8;80;89;10;72;
583;40;91;83;69;67;80;
584;40;7;76;75;91;81;
586;40;0;0;0;0;0;
572;41;90;77;79;84;82;
574;41;0;0;0;0;0;
575;41;79;80;73;66;93;
576;41;72;71;83;56;83;
577;41;68;96;2;1;80;
578;41;78;66;24;88;82;
581;41;85;74;72;61;85;
578;42;72;93;95;12;82;
580;42;83;69;96;75;89;
582;42;74;72;77;59;84;
572;43;78;73;79;77;86;
573;43;0;0;0;0;0;
576;43;79;98;71;41;99;водопьянов
585;43;81;77;88;55;81;
573;44;92;70;85;14;83;
575;44;22;6;45;45;91;
577;44;98;95;23;18;91;
579;44;0;0;0;0;0;
580;44;0;0;0;0;0;
573;45;77;12;85;7;90;
581;45;75;80;96;41;90;водопьянов
582;45;24;94;75;48;86;
589;45;71;73;84;48;80;
571;46;77;75;89;74;98;
574;46;73;98;96;41;94;Вован
576;46;85;76;57;62;98;
577;46;72;85;88;21;94;Вован
578;46;82;64;82;70;72;
579;46;88;60;81;9;82;
580;46;99;94;17;85;81;
582;46;15;96;75;95;93;
583;46;82;87;76;92;85;
569;47;80;77;71;46;83;
575;47;79;69;61;44;84;
578;47;5;89;68;59;72;
579;47;78;64;65;44;74;водопьянов
581;47;78;81;94;60;83;
586;47;81;80;13;76;86;
571;48;77;66;15;91;93;
575;48;71;88;84;30;90;
576;48;99;91;84;97;80;
582;48;69;95;80;28;95;
552;49;0;0;0;0;70;
572;49;72;78;82;98;85;
582;49;83;77;74;50;95;водопьянов
576;50;0;0;0;0;0;
579;50;68;76;91;22;96;Вован
585;50;85;9;6;28;80;
565;51;31;54;70;18;78;
569;51;78;76;76;86;82;
570;51;80;80;95;25;80;Вован
572;51;69;7;81;19;80;
573;51;2;82;76;60;88;
576;51;85;60;74;16;89;
578;51;91;53;37;11;97;
584;51;71;85;74;89;90;
566;52;97;5;83;9;93;
568;52;86;27;82;8;83;
571;52;61;22;83;78;83;
578;52;73;82;75;27;88;
583;52;69;80;79;72;95;
584;52;78;68;75;64;99;
565;53;71;46;81;49;87;
569;53;89;46;74;81;87;
572;53;79;15;81;28;84;
574;53;0;0;0;0;0;
577;53;69;13;44;26;83;
578;53;65;93;80;32;93;
585;53;95;76;84;54;98;водопьянов
586;53;88;85;88;73;93;
560;54;70;97;88;82;97;
564;54;62;78;53;42;81;
566;54;24;71;87;64;86;
569;54;2;76;80;20;84;
572;54;5;75;70;71;83;
573;54;0;0;0;0;0;
575;54;71;77;88;80;86;
576;54;76;82;73;23;86;
581;54;67;71;76;9;96;
568;55;90;69;82;99;94;
571;55;75;24;97;10;95;
573;55;95;88;73;59;81;
575;55;78;84;47;55;88;водопьянов
577;55;78;84;73;43;84;
578;55;72;87;10;67;88;
565;56;60;74;92;36;80;
575;56;68;96;76;83;88;
582;56;76;76;14;78;93;
560;57;81;88;74;73;91;
564;57;97;8;79;5;97;
