x;y;o;e;m;t;s;
236;1;71;76;74;98;83;
237;1;85;72;72;8;77;
238;1;91;59;92;53;82;
254;1;11;48;81;36;24;
413;1;73;72;60;75;75;
645;1;79;70;78;86;72;
730;1;79;71;68;26;70;
76;2;73;73;70;72;77;
78;2;71;77;79;72;73;
108;2;71;76;77;55;72;
176;2;74;76;69;46;70;
235;2;26;97;80;87;74;
237;2;99;1;72;61;3;
250;2;72;82;80;49;69;
253;2;80;6;74;57;82;
254;2;80;83;77;36;7;
255;2;95;77;83;13;63;
351;2;73;72;67;19;78;
365;2;71;71;76;27;75;
411;2;77;71;71;83;78;
512;2;76;75;74;9;75;
720;2;74;71;68;50;74;
845;2;79;76;79;11;72;
39;3;70;75;79;63;74;
61;3;79;78;75;71;78;
83;3;78;70;75;41;77;
85;3;70;68;74;84;73;
122;3;79;75;74;50;74;
189;3;71;72;73;26;78;
248;3;85;76;59;84;67;
250;3;72;95;21;55;83;
251;3;79;65;87;28;87;
252;3;74;71;77;70;90;
253;3;14;10;86;32;97;
254;3;26;25;98;77;7;
255;3;52;75;71;86;74;
256;3;75;66;98;58;72;
350;3;74;71;60;25;75;
518;3;77;72;73;86;72;
551;3;77;71;79;49;72;
883;3;73;75;79;70;75;
933;3;74;73;77;11;77;
14;4;71;76;75;35;76;
42;4;75;72;76;73;77;
248;4;72;64;36;64;90;
249;4;72;76;67;52;70;
250;4;73;1;84;21;76;
251;4;73;87;96;24;6;
252;4;74;94;80;89;6;
253;4;83;78;80;75;79;
254;4;83;16;90;93;93;
255;4;63;72;86;57;81;
256;4;75;65;81;73;72;
360;4;77;67;65;79;77;
440;4;74;75;73;50;76;
547;4;73;76;74;47;77;
595;4;78;79;68;72;74;
823;4;71;76;70;37;73;
922;4;74;70;75;44;77;
68;5;74;73;69;47;75;
76;5;79;73;76;23;77;
129;5;71;79;72;25;76;
136;5;73;72;75;37;71;
249;5;77;77;78;64;74;
250;5;77;83;89;40;1;
251;5;14;4;93;45;79;
253;5;85;3;70;66;85;
254;5;63;12;85;33;70;
255;5;10;70;88;68;75;
256;5;79;79;83;63;86;
340;5;74;77;79;64;73;
678;5;73;71;76;75;70;
688;5;79;76;79;52;77;
850;5;76;64;79;41;70;
894;5;77;72;62;81;75;
26;6;75;76;75;65;77;
28;6;79;75;70;52;74;
44;6;73;75;75;26;75;
97;6;68;71;72;6;78;
137;6;78;75;72;17;76;
171;6;74;79;72;31;78;
192;6;73;78;77;23;75;
249;6;78;88;10;24;76;
250;6;90;71;72;34;68;
251;6;76;86;86;47;12;
252;6;75;91;86;42;70;
253;6;68;75;55;49;23;
254;6;82;30;75;50;77;
255;6;74;71;91;30;74;
257;6;81;67;82;34;85;
602;6;79;71;72;57;74;
646;6;77;70;74;99;75;
734;6;71;75;66;33;71;
821;6;79;70;68;32;76;
849;6;79;63;74;97;79;
881;6;78;69;79;36;71;
929;6;75;77;74;81;72;
110;7;77;77;72;4;76;
129;7;76;70;70;54;78;
190;7;77;75;78;84;78;
248;7;74;67;79;81;68;
249;7;76;78;79;68;81;
251;7;82;81;79;98;75;
252;7;76;84;80;51;70;
253;7;73;7;81;45;73;
256;7;74;53;85;77;76;
257;7;83;77;73;55;96;
258;7;70;6;94;45;96;
347;7;76;71;72;33;73;
356;7;76;72;79;31;72;
419;7;77;65;75;1;74;
421;7;75;72;69;7;76;
612;7;68;75;72;7;74;
645;7;66;74;75;8;71;
774;7;73;79;73;29;73;
838;7;71;67;69;69;78;
178;8;78;75;73;72;70;
184;8;77;70;68;6;75;
248;8;71;75;31;10;89;
249;8;80;80;91;48;27;
250;8;87;78;1;52;72;
251;8;77;76;70;4;87;
252;8;86;5;74;40;77;
253;8;62;72;83;74;71;
392;8;72;78;73;22;74;
403;8;77;77;72;28;77;
415;8;73;73;75;40;73;
418;8;78;73;71;44;74;
433;8;75;77;60;89;76;
447;8;78;73;73;87;71;
490;8;76;70;78;67;75;
523;8;77;77;73;28;70;
578;8;72;74;72;5;72;
603;8;75;67;72;7;73;
627;8;71;78;73;82;72;
634;8;71;74;74;27;74;
881;8;77;72;71;16;75;
55;9;73;75;75;73;79;
79;9;73;70;67;2;71;
88;9;73;78;75;43;75;
246;9;91;64;97;94;82;
247;9;75;70;72;65;18;
248;9;44;81;50;64;75;
249;9;78;94;86;28;87;
250;9;80;77;85;67;75;
251;9;6;9;84;89;98;
252;9;84;12;88;5;13;
253;9;35;76;78;3;83;
254;9;70;80;93;93;10;
282;9;75;79;70;69;70;
315;9;73;70;71;31;73;
389;9;79;74;72;4;72;
584;9;72;77;75;52;79;
916;9;70;74;76;61;72;
92;10;77;71;77;46;71;
102;10;72;69;76;16;76;
246;10;74;79;69;72;80;
247;10;83;91;71;66;2;
249;10;93;70;69;64;80;
250;10;80;74;99;45;73;
251;10;83;74;74;28;71;
252;10;59;99;86;30;87;
303;10;71;74;78;95;79;
388;10;71;79;69;11;73;
448;10;73;72;79;51;79;
657;10;74;70;70;76;76;
659;10;70;75;71;70;73;
718;10;78;70;78;47;76;
848;10;77;70;79;32;79;
918;10;77;76;70;9;74;
128;11;79;73;77;66;79;
148;11;73;68;78;61;79;
185;11;78;74;78;96;79;
245;11;77;92;77;6;72;
247;11;72;14;71;64;90;
248;11;78;77;69;82;86;
250;11;79;74;72;71;75;
251;11;18;82;70;24;79;
252;11;82;72;91;39;64;
257;11;3;78;77;26;82;
477;11;72;76;71;92;77;
754;11;76;78;73;98;72;
925;11;76;77;66;15;77;
54;12;77;72;74;36;78;
144;12;79;73;77;26;72;
156;12;70;74;74;34;74;
182;12;74;79;79;8;71;
249;12;97;70;27;78;78;
250;12;99;80;98;65;7;
251;12;92;88;99;7;75;
252;12;78;69;72;30;91;
402;12;78;70;70;77;76;
405;12;74;75;75;46;76;
421;12;73;69;67;44;70;
477;12;77;72;79;6;70;
488;12;77;79;69;4;73;
558;12;74;62;74;40;74;
639;12;76;79;76;27;79;
722;12;73;73;71;26;70;
879;12;77;71;64;64;75;
948;12;76;65;78;80;76;
206;13;71;75;69;21;78;
249;13;79;6;79;74;92;
251;13;1;73;82;19;92;
254;13;83;20;98;16;90;
255;13;0;0;0;0;60;
441;13;75;72;75;42;72;
641;13;73;76;70;17;76;
660;13;72;65;78;62;70;
764;13;73;78;72;47;74;
805;13;75;77;68;57;75;
827;13;72;61;75;70;74;
831;13;75;73;73;55;73;
18;14;74;77;78;63;71;
81;14;71;74;63;10;75;
215;14;74;76;79;6;78;
249;14;85;94;76;9;82;
253;14;79;80;74;3;99;
361;14;77;70;71;72;77;
373;14;79;79;79;82;75;
606;14;75;71;72;67;71;
825;14;71;74;75;76;73;
855;14;79;77;71;20;76;
875;14;70;73;69;47;77;
932;14;76;67;73;81;78;
134;15;76;67;72;18;76;
184;15;70;73;73;32;79;
194;15;75;71;72;91;77;
435;15;72;72;77;71;71;
583;15;74;74;65;13;71;
662;15;72;76;69;90;79;
136;16;72;79;74;27;72;
160;16;74;76;67;50;71;
249;16;80;71;13;36;85;
312;16;79;66;74;15;72;
368;16;61;73;77;9;79;
414;16;76;65;67;15;72;
760;16;76;73;75;96;75;
849;16;76;75;72;78;75;
868;16;73;73;69;30;77;
874;16;73;78;66;95;76;
881;16;73;73;78;42;79;
985;16;77;75;77;2;74;
992;16;74;79;72;56;78;
11;17;72;68;67;56;71;
56;17;77;79;69;75;79;
